Capability ID,Domain,Capability,Consumer Perspective,Service Provider Perspective,Platform/Admin Perspective,Depends On
REQ-004,Request Lifecycle Management,Policy Evaluation,"Request validated, transformed, and gated by applicable policies",Contribute provider-specific policies,Manage Policy Engine; configure Policy Groups and Profiles,REQ-003
REQ-005,Request Lifecycle Management,Placement Engine Execution,Resource placed with the best available provider instance,Implement capacity reserve_query response,Configure placement constraints; manage provider priorities,REQ-004
REQ-006,Request Lifecycle Management,Requested State Persistence,Assembled payload stored as authoritative GitOps record,—,Configure Requested Store; manage storage redundancy,REQ-005
REQ-007,Request Lifecycle Management,Provider Dispatch,Request payload delivered to selected provider,Implement Services API to receive DCM payloads,Configure API Gateway and egress,REQ-006
REQ-008,Request Lifecycle Management,Request Status Tracking,Monitor request status from submitted through realized,Report realization status back to DCM,Configure observability for request tracking,REQ-007
REQ-009,Request Lifecycle Management,Request Cancellation,Cancel a pending request before realization,Handle cancellation payloads,Configure cancellation policies,REQ-002
REQ-010,Request Lifecycle Management,Git PR Request Ingress,Submit requests via Git Pull Request with policy dry-run feedback,—,Configure Git Request Watcher; manage repository structure,"REQ-001, IAM-001"
PRV-001,Provider Contract and Realization,Provider Registration,—,"Register provider with DCM: declare type, capabilities, sovereignty, cost metadata",Configure Provider Registry; validate sovereignty declarations,IAM-001
PRV-002,Provider Contract and Realization,Naturalization,—,Convert DCM unified payload to provider-native format,—,"PRV-001, REQ-007"
PRV-003,Provider Contract and Realization,Realization,—,Execute required actions to provision/configure/change resource,—,PRV-002
PRV-004,Provider Contract and Realization,Denaturalization,—,Convert provider-native result back to DCM unified format,—,PRV-003
PRV-005,Provider Contract and Realization,Realized State Reporting,—,Report realized payload and status to DCM API Gateway,Configure Realized State Store; manage Event Stream,PRV-004
PRV-006,Provider Contract and Realization,Capacity Reporting,—,Respond to reserve_query with current capacity and availability,Configure placement engine; manage capacity confidence,PRV-001
PRV-007,Provider Contract and Realization,Provider Health Reporting,—,Expose health check endpoint; report availability,Monitor provider health; configure trust score updates,PRV-001
PRV-008,Provider Contract and Realization,Sovereignty Declaration Maintenance,—,Notify DCM when sovereignty data changes within declared SLA,Monitor sovereignty changes; trigger re-evaluation,PRV-001
PRV-009,Provider Contract and Realization,Meta Provider Orchestration,—,Compose sub-providers to deliver higher-order services; manage composition visibility,Configure composite provider federation eligibility,"PRV-001, PRV-003"
LCM-001,Resource Lifecycle Management,Resource State Transitions,"Trigger lifecycle actions: suspend, resume, decommission",Handle state transition payloads,Configure lifecycle policies; manage state machine,REQ-008
LCM-002,Resource Lifecycle Management,Post-Realization Field Updates,Update editable fields on realized resources (targeted delta),Handle delta update payloads; apply partial changes,Configure editable field declarations; manage edit policies,PRV-005
LCM-003,Resource Lifecycle Management,Resource TTL Management,Declare and extend resource TTLs; receive expiry notifications,Handle TTL-triggered decommission payloads,Configure Lifecycle Constraint Enforcer; manage expiry policies,LCM-001
LCM-004,Resource Lifecycle Management,Ownership Transfer,Transfer resource ownership to a different Tenant,—,Authorize and execute ownership transfers; record transfer history,"IAM-007, LCM-001"
LCM-005,Resource Lifecycle Management,Rehydration,Replay a resource's intent state to a new provider or context,Receive and execute rehydration payloads,Manage rehydration leases; configure auth level requirements,"REQ-002, PRV-003"
LCM-006,Resource Lifecycle Management,Billing State Management,—,—,Configure billing state policies; integrate with Cost Analysis,LCM-001
LCM-007,Resource Lifecycle Management,Resource Decommission,Decommission resources individually or as part of group decommission,Handle decommission payloads; release resources,Manage decommission workflows; coordinate dependency teardown,LCM-001
DRF-001,Drift Detection and Remediation,Active Discovery,—,Expose discovery endpoint; respond to interrogation queries,Configure discovery schedules; manage Discovered Store,PRV-005
DRF-002,Drift Detection and Remediation,Drift Comparison,Receive drift notifications for owned resources,—,Configure drift detection policies; manage comparison logic,"DRF-001, PRV-005"
DRF-003,Drift Detection and Remediation,Drift Notification,Receive actionable drift alerts with field-level detail,—,Configure drift notification channels and escalation policies,DRF-002
DRF-004,Drift Detection and Remediation,Drift Remediation,Approve or reject automatic drift remediation,Execute remediation payloads,Configure remediation policies (revert/update/alert/escalate),"DRF-002, LCM-002"
DRF-005,Drift Detection and Remediation,Unsanctioned Change Detection,Receive alerts on unauthorized resource modifications,Report all external state changes to DCM,Configure unsanctioned change policies,DRF-001
POL-001,Policy Management,Policy Authoring,—,Contribute provider-specific policy rules,Author and manage policies in GitOps store,IAM-003
POL-002,Policy Management,Policy Validation and Shadow Mode,View shadow evaluation results on own requests,—,Configure shadow mode; review shadow results in Validation Store,POL-001
POL-003,Policy Management,Policy Activation and Review,—,—,Manage policy review periods; authorize policy activation,"POL-001, POL-002"
POL-004,Policy Management,Policy Group Management,—,—,Compose Policy Groups; manage profile assignments,POL-003
POL-005,Policy Management,Profile Management,—,—,Configure deployment profiles; manage compliance domain groups,POL-004
POL-006,Policy Management,Policy Provider Registration,—,Register Policy Providers; maintain provider in declared mode,Configure Policy Provider trust levels; manage trust elevation workflow,"PRV-001, POL-001"
POL-007,Policy Management,Policy Override and Constraint Visibility,View constraint details for service catalog fields,Declare constraint schemas on Resource Type Specs,Configure constraint visibility levels per profile,"CAT-002, POL-003"
LAY-001,Data Layer Management,Core Layer Authoring,—,—,Author and manage Core and Organizational Layers in GitOps,IAM-003
LAY-002,Data Layer Management,Service Layer Contribution,—,Contribute Service Layers for offered resource types,Manage layer compatibility declarations,"PRV-001, LAY-001"
LAY-003,Data Layer Management,Layer Cache Management,—,—,Manage Layer Cache synchronization; handle cache invalidation,"LAY-001, LAY-002"
LAY-004,Data Layer Management,Layer Exclusion,Declare layer exclusions on specific requests,—,Configure which layers may be excluded; manage non-excludable declarations,REQ-003
LAY-005,Data Layer Management,Layer Versioning and Lifecycle,—,—,Manage layer versions; handle deprecation; enforce immutability,LAY-001
INF-001,Information and Data Integration,Information Provider Registration,—,Register Information Provider; declare authority scope and schema,Configure Information Provider Registry; manage authority layers,IAM-001
INF-002,Information and Data Integration,Information Provider Push,—,Push field value updates to DCM; respond to conflict notifications,Configure ingestion pipeline; manage conflict resolution policies,INF-001
INF-003,Information and Data Integration,Information Provider Pull / Discovery,—,Expose data query endpoint for DCM pull operations,Configure pull schedules; manage cache TTLs,INF-001
INF-004,Information and Data Integration,Write-Back,—,Implement write-back endpoint to receive DCM-initiated updates,Configure write-back triggers via policy,"INF-001, INF-002"
INF-005,Information and Data Integration,Confidence Score Visibility,View confidence bands on entity field values; query confidence aggregation API,—,Configure confidence scoring formula; manage trust score thresholds,INF-001
INF-006,Information and Data Integration,Conflict Resolution Management,—,—,Review and resolve contested field values; manage conflict escalation,INF-002
ING-001,Ingestion and Brownfield Management,Resource Discovery and Ingestion,—,Expose discovery endpoints for brownfield resources,Configure ingestion pipeline; manage transitional Tenant,DRF-001
ING-002,Ingestion and Brownfield Management,Ingested Entity Review,—,—,Review ingested entities; resolve conflicts; promote to active Tenants,ING-001
ING-003,Ingestion and Brownfield Management,Bulk Promotion,—,—,Execute bulk entity promotions with preview and rollback,ING-002
ING-004,Ingestion and Brownfield Management,Catalog Item Association,—,—,Associate ingested entities with Resource Type Specs; create catalog items,"ING-002, CAT-001"
AUD-001,Audit and Compliance,Audit Trail Access,Query audit records for own resources,—,Configure Audit Store; manage retention policies,IAM-003
AUD-002,Audit and Compliance,Compliance Reporting,—,—,Generate compliance reports; manage report schedules,AUD-001
AUD-003,Audit and Compliance,Hash Chain Verification,—,—,Run scheduled and on-demand hash chain verification; manage integrity incidents,AUD-001
AUD-004,Audit and Compliance,Cross-DCM Audit Correlation,—,—,Correlate audit records across DCM instances via correlation_id; authorize cross-DCM pulls,"AUD-001, DCM-001"
AUD-005,Audit and Compliance,Audit Record Retention Management,—,—,Configure reference-based retention; manage post-lifecycle retention,AUD-001
OBS-001,Observability and Operations,Operational Dashboard,View health and status of own resources,—,Configure and manage observability dashboard,—
OBS-002,Observability and Operations,Metrics and Telemetry Export,—,Expose resource-level metrics to DCM,Configure observability export; integrate enterprise observability platform,—
OBS-003,Observability and Operations,Curated Event Stream Subscription,Subscribe to observability event types via Message Bus,—,Configure event stream publication policies; manage subscriber roles,OBS-002
OBS-004,Observability and Operations,Alert and Notification Management,Receive resource and policy alerts via declared channels,—,Configure alert routing; manage notification channels and escalation,OBS-001
OBS-005,Observability and Operations,Cost Analysis and Attribution,View cost estimates and actuals for owned resources,Provide cost metadata; report utilization,Configure Cost Analysis component; manage cost attribution policies,PRV-006
STO-001,Storage and State Management,GitOps Store Management,—,—,Configure and manage Intent and Requested Stores; manage Git repository structure,—
STO-002,Storage and State Management,Realized State Store Management,—,—,Configure Event Stream and Realized Store; manage retention,PRV-005
STO-003,Storage and State Management,Discovered State Store Management,—,—,Configure Discovered Store; manage retention policies per profile,DRF-001
STO-004,Storage and State Management,Search Index Management,Use entity and catalog search,—,Configure Search Index; manage rebuild on failure,STO-001
STO-005,Storage and State Management,Backup and Recovery,—,—,Configure backup schedules; test recovery procedures,"STO-001, STO-002"
STO-006,Storage and State Management,Provenance Model Configuration,—,—,Select and configure provenance model (full_inline/deduplicated/tiered); manage tier transitions,STO-001
FED-001,DCM Federation and Multi-Instance,DCM Provider Registration,Submit requests that are routed to peer DCMs,Register as DCM Provider in peer instances,Configure DCM Provider registrations; manage federation trust,"PRV-001, IAM-001"
FED-002,DCM Federation and Multi-Instance,Federation Routing,Requests automatically routed to appropriate Regional/Sovereign DCM,Respond to reserve queries from Hub DCM,Configure federation placement policies; manage sovereignty pre-filters,"FED-001, REQ-005"
FED-003,DCM Federation and Multi-Instance,Federation Trust Management,—,—,Manage mTLS certificates; monitor federation trust scores; handle cert rotation,FED-001
FED-004,DCM Federation and Multi-Instance,Cross-DCM Drift Detection,Receive drift alerts for federated resources,Publish Discovered State events to federation Message Bus,Configure federated drift detection; manage alert-and-hold policies,"FED-001, DRF-002"
FED-005,DCM Federation and Multi-Instance,DCM Export and Import,—,—,Export and import DCM state packages; verify import trust scores,"STO-001, STO-002"
GOV-001,Platform Governance and Administration,Tenant Management,—,—,"Create, configure, and decommission Tenants; manage compliance overlays",IAM-007
GOV-002,Platform Governance and Administration,Group Management,—,—,Create and manage DCM Groups; configure sovereignty rules; manage time-bounded memberships,IAM-003
GOV-003,Platform Governance and Administration,Registry Management,—,Register and maintain Resource Type Specifications in organization registry,Manage registry sync; configure registry policies; manage Tier 3 types,PRV-001
GOV-004,Platform Governance and Administration,Resource Type Lifecycle,—,Manage deprecation notices; declare successor types; maintain migration guidance,Enforce deprecation timelines; manage sunset periods,GOV-003
GOV-005,Platform Governance and Administration,Platform Configuration Management,—,—,Manage platform-wide layers; configure profiles; manage deployment manifest,"LAY-001, POL-005"
GOV-006,Platform Governance and Administration,Bootstrap and Self-Hosting,—,—,Manage DCM self-deployment; verify bootstrap manifest; handle repave scenarios,STO-001
GOV-007,Platform Governance and Administration,Sovereign Deployment Management,—,—,Manage air-gapped DCM instances; configure signed bundle import; manage offline registry,"FED-001, STO-001"
